,"(nan, 'xp')","('dc_ose_metrics.csv', 'Method')","('dc_ose_metrics.csv', 'µ(RMSE) ')","('dc_ose_metrics.csv', 'λx (km)')","('dc_ose_metrics.csv', 'σ(RMSE)')","('ose_metrics.csv', 'rmse')","('ose_metrics.csv', 'λx')","('ose_metrics.csv', 'μ')","('osse_metrics.csv', 'RMSE (m)')","('osse_metrics.csv', 'λt')","('osse_metrics.csv', 'λx')","('osse_metrics.csv', 'μ')","('osse_metrics.csv', 'σ')",root['input_da']['path'],root['domains']['val']['time']['_args_'][0],root['domains']['val']['time']['_args_'][1],root['aug_factor'],root['aug_only'],root['domains']['train']['time']['_args_'][0],root['xrds_kw']['strides']['lat'],root['xrds_kw']['strides']['lon'],root['dl_kw']['batch_size'],root['_target_'],root['input_da']['_target_'],root['xrds_kw']['patch_dims']['time'],root['opt_fn']['_target_'],root['rec_weight']['_target_'],root['rec_weight']['crop']['time'],root['solver']['prior_cost']['dim_hidden'],root['solver']['grad_mod']['dim_hidden'],root['opt_fn']['lr'],root['rec_weight']['crop']['lat'],root['rec_weight']['crop']['lon'],root['rec_weight']['patch_dims']['time'],root['norm_stats']['self']['obj_cfg']['xrds_kw']['patch_dims']['time'],root['norm_stats']['self']['obj_cfg']['dl_kw']['batch_size'],root['norm_stats']['self']['obj_cfg']['aug_factor'],root['solver']['n_step'],root['solver']['prior_cost']['dim_in'],root['solver']['grad_mod']['dim_in'],root['logger']['save_dir'],root['logger']['name'],root['max_epochs'],root['callbacks'][1]['_target_'],root['callbacks'][1]['filename']
bigger_model_lr1_augon3,base,4DVarNet,0.886941015885971,97.0,0.0804645114848811,0.0607454393157336,106.28096698037024,0.8956322910456862,0.0238266915195385,5.137,0.708,0.95878,0.00574,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,3.0,True,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_cropped_hanning_mask,3.0,128.0,256.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-09/08-27-57,base,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
natl_center_output,enatl,4DVarNet,0.8957286656731851,99.0,0.08178977160895051,0.0531588247156628,106.01498325506792,0.9081223846616662,0.0251971253167091,5.068,0.747,0.95628,0.01071,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,6.0,True,2013-02-04,240.0,240.0,4.0,src.data.ConcatDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-23/15-33-23,enatl,200.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
sub_100km,base,4DVarNet,0.8899394714034555,99.0,0.06996714991195566,0.059361238930943,105.25183115259884,0.9007334117775904,0.0239805708996144,18.607,1.068,0.95876,0.00636,/raid/localscratch/qfebvre/sla-data-registry/qdata/natl20.nc,2012-12-15,2013-02-24,2.0,True,2013-02-04,240.0,240.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,17.0,src.utils.half_lr_adam,src.utils.get_constant_crop,6.0,75.0,100.0,0.001,20.0,20.0,17.0,17.0,4.0,2.0,10.0,17.0,17.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-01-24/08-33-53/0,base,1000.0,pytorch_lightning.callbacks.ModelCheckpoint,{epoch:02d}-{val_rmse:.3f}
natl_2,enatl,4DVarNet,0.899000540604816,101.0,0.07751467289131235,0.0510500681829224,106.1710721797127,0.9123599760002056,0.0223007637760506,5.039,0.713,0.96131,0.01116,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,6.0,True,2013-02-04,240.0,240.0,4.0,src.data.ConcatDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-22/16-55-05,enatl,200.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
sota_triwei,base,4DVarNet,0.8972604675089715,101.0,0.07128921053176646,0.0533369758995367,110.11067214463937,0.9093543718830354,0.0243727606593844,5.226,0.768,0.9577,0.01704,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,240.0,240.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-03-01/09-45-07,base,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
bigger_model_100ep,base,4DVarNet,0.8867613071771095,101.0,0.07997654413559911,0.0611949651516045,110.99758461347464,0.8957880194153971,0.0240941865789245,5.104,0.721,0.95831,0.00706,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,2.0,False,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_cropped_hanning_mask,3.0,100.0,200.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-10/15-37-22,base,100.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
natl_1,enatl,4DVarNet,0.8986065619315198,101.0,0.07680753734271008,0.0512619281270288,107.85807185061392,0.9116704286082692,0.0225155962263453,5.12,0.731,0.96094,0.01119,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,6.0,True,2013-02-04,240.0,240.0,4.0,src.data.ConcatDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-21/16-40-31,enatl,200.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
natl_lae_mr,enatl,4DVarNet,0.8961231827277916,102.0,0.07495699417750674,0.0533496145288392,109.79233612110356,0.907567163160781,0.021193527523109,5.234,0.715,0.96323,0.01183,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,3.0,True,2013-02-04,240.0,240.0,8.0,src.data.ConcatDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-27/09-08-21,enatl,200.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
good_aug8,big_mod,4DVarNet,0.8946790979389576,102.0,0.07312807688769224,0.0546535235683263,108.77236222638456,0.9077547926716676,0.0224387281477997,5.221,0.793,0.96118,0.00546,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,8.0,False,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_cropped_hanning_mask,3.0,50.0,75.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-14/12-15-03,big_mod,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
baseline,base,4DVarNet,0.898223148614546,102.0,0.07349844766995307,0.052153686144327,108.23398761511513,0.9111754499637033,0.0230122380363297,5.072,0.761,0.96007,0.01186,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,240.0,240.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-27/19-18-09,base,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
